,FIPS,air_particulate,Year
777,18127,12.7,2019
778,18129,12.1,2019
779,18131,11.7,2019
780,18133,11.2,2019
781,18135,11.8,2019
782,18137,11.4,2019
783,18139,11.3,2019
784,18141,12.8,2019
785,18143,11.4,2019
786,18145,11.8,2019
787,18147,12.1,2019
788,18149,12.3,2019
789,18151,12,2019
790,18153,11.5,2019
791,18155,11.3,2019
792,18157,10.9,2019
793,18159,11.7,2019
794,18161,11.2,2019
795,18163,12.5,2019
796,18165,11.4,2019
797,18167,11.3,2019
798,18169,12.3,2019
799,18171,10.9,2019
800,18173,12.6,2019
801,18175,11.5,2019
802,18177,11.5,2019
803,18179,12.4,2019
804,18181,11.7,2019
805,18183,11.9,2019
806,19000,9,2019
807,19001,8.7,2019
808,19003,8.7,2019
809,19005,8.9,2019
810,19007,9.2,2019
811,19009,8.7,2019
812,19011,9.9,2019
813,19013,9.4,2019
814,19015,9.1,2019
815,19017,9.3,2019
816,19019,9.7,2019
817,19021,8.7,2019
818,19023,9.1,2019
819,19025,8.8,2019
820,19027,8.9,2019
821,19029,8.7,2019
822,19031,10.4,2019
823,19033,8.6,2019
824,19035,8.6,2019
825,19037,8.8,2019
826,19039,8.9,2019
827,19041,8.2,2019
828,19043,9.4,2019
829,19045,10.4,2019
830,19047,8.8,2019
831,19049,9.2,2019
832,19051,9.4,2019
833,19053,9,2019
834,19055,9.5,2019
835,19057,10.7,2019
836,19059,8,2019
837,19061,10.1,2019
838,19063,8,2019
839,19065,9.4,2019
840,19067,8.6,2019
841,19069,8.8,2019
842,19071,9.1,2019
843,19073,8.8,2019
844,19075,9.3,2019
845,19077,8.8,2019
846,19079,9.1,2019
847,19081,8.4,2019
848,19083,9.2,2019
849,19085,8.9,2019
850,19087,10.3,2019
851,19089,8.3,2019
852,19091,8.6,2019
853,19093,8.6,2019
854,19095,9.9,2019
855,19097,10.2,2019
856,19099,9.4,2019
857,19101,9.9,2019
858,19103,9.3,2019
859,19105,10,2019
860,19107,9.8,2019
861,19109,8.3,2019
862,19111,10.7,2019
863,19113,9.7,2019
864,19115,10.5,2019
865,19117,9,2019
866,19119,8.3,2019
867,19121,8.8,2019
868,19123,9.6,2019
869,19125,9.4,2019
870,19127,9.3,2019
871,19129,9.1,2019
872,19131,8.2,2019
873,19133,8.8,2019
874,19135,9.3,2019
875,19137,8.5,2019
876,19139,11.2,2019
877,19141,8.5,2019
878,19143,8.1,2019
879,19145,9,2019
880,19147,8.1,2019
881,19149,8.9,2019
882,19151,8.5,2019
883,19153,8.6,2019
884,19155,9.5,2019
885,19157,9.6,2019
886,19159,8.9,2019
887,19161,8.8,2019
888,19163,10.3,2019
889,19165,8.6,2019
890,19167,8.8,2019
891,19169,9.3,2019
892,19171,9.5,2019
893,19173,9,2019
